action_id,actuator_handle,application_success,applied_value,approved_value,observed_setpoint_after_application,requested_value,reset_performed,simulation_timestamp,source_type,validation_id,verified
action-d60502d5bc774eb986b435ebcb876b30,416,True,22.0,22.0,,22.0,False,2013-01-01T09:15:00Z,mock_agent,validation-6c90d6160a0e43e299269abe1d3c22cc,False
action-d60502d5bc774eb986b435ebcb876b30,416,True,22.0,22.0,,22.0,False,2013-01-01T09:02:00Z,mock_agent,validation-6c90d6160a0e43e299269abe1d3c22cc,False
action-d60502d5bc774eb986b435ebcb876b30,416,True,22.0,22.0,,22.0,False,2013-01-01T09:04:00Z,mock_agent,validation-6c90d6160a0e43e299269abe1d3c22cc,False
action-d60502d5bc774eb986b435ebcb876b30,416,True,22.0,22.0,,22.0,False,2013-01-01T09:06:00Z,mock_agent,validation-6c90d6160a0e43e299269abe1d3c22cc,False
action-d60502d5bc774eb986b435ebcb876b30,416,True,22.0,22.0,,22.0,False,2013-01-01T09:09:00Z,mock_agent,validation-6c90d6160a0e43e299269abe1d3c22cc,False
action-d60502d5bc774eb986b435ebcb876b30,416,True,22.0,22.0,,22.0,False,2013-01-01T09:11:00Z,mock_agent,validation-6c90d6160a0e43e299269abe1d3c22cc,False
action-d60502d5bc774eb986b435ebcb876b30,416,True,22.0,22.0,,22.0,False,2013-01-01T09:13:00Z,mock_agent,validation-6c90d6160a0e43e299269abe1d3c22cc,False
action-d60502d5bc774eb986b435ebcb876b30,416,True,22.0,22.0,,22.0,False,2013-01-01T09:15:00Z,mock_agent,validation-6c90d6160a0e43e299269abe1d3c22cc,False
action-d60502d5bc774eb986b435ebcb876b30,416,True,22.0,22.0,,22.0,False,2013-01-01T09:30:00Z,mock_agent,validation-6c90d6160a0e43e299269abe1d3c22cc,False
action-d60502d5bc774eb986b435ebcb876b30,416,True,22.0,22.0,,22.0,False,2013-01-01T09:23:00Z,mock_agent,validation-6c90d6160a0e43e299269abe1d3c22cc,False
action-d60502d5bc774eb986b435ebcb876b30,416,True,22.0,22.0,,22.0,False,2013-01-01T09:30:00Z,mock_agent,validation-6c90d6160a0e43e299269abe1d3c22cc,False
action-d60502d5bc774eb986b435ebcb876b30,416,True,22.0,22.0,,22.0,False,2013-01-01T09:45:00Z,mock_agent,validation-6c90d6160a0e43e299269abe1d3c22cc,False
action-e5a32a35163d432f882235ddc397b639,416,True,23.0,23.0,,23.0,False,2013-01-01T10:00:00Z,mock_agent,validation-e4d599e8c1044e98b24ccd47892d1604,False
action-e5a32a35163d432f882235ddc397b639,416,True,23.0,23.0,,23.0,False,2013-01-01T10:15:00Z,mock_agent,validation-e4d599e8c1044e98b24ccd47892d1604,False
action-e5a32a35163d432f882235ddc397b639,416,True,23.0,23.0,,23.0,False,2013-01-01T10:05:00Z,mock_agent,validation-e4d599e8c1044e98b24ccd47892d1604,False
action-e5a32a35163d432f882235ddc397b639,416,True,23.0,23.0,,23.0,False,2013-01-01T10:10:00Z,mock_agent,validation-e4d599e8c1044e98b24ccd47892d1604,False
action-e5a32a35163d432f882235ddc397b639,416,True,23.0,23.0,,23.0,False,2013-01-01T10:15:00Z,mock_agent,validation-e4d599e8c1044e98b24ccd47892d1604,False
action-e5a32a35163d432f882235ddc397b639,416,True,23.0,23.0,,23.0,False,2013-01-01T10:30:00Z,mock_agent,validation-e4d599e8c1044e98b24ccd47892d1604,False
action-e5a32a35163d432f882235ddc397b639,416,True,23.0,23.0,,23.0,False,2013-01-01T10:45:00Z,mock_agent,validation-e4d599e8c1044e98b24ccd47892d1604,False
action-6e58a40c9d934e04976aaf43fbb39369,416,True,23.0,23.0,,23.0,False,2013-01-01T11:00:00Z,mock_agent,validation-7053077ef7a0458083b428e84a3da590,False
action-6e58a40c9d934e04976aaf43fbb39369,416,True,23.0,23.0,,23.0,False,2013-01-01T11:15:00Z,mock_agent,validation-7053077ef7a0458083b428e84a3da590,False
action-6e58a40c9d934e04976aaf43fbb39369,416,True,23.0,23.0,,23.0,False,2013-01-01T11:30:00Z,mock_agent,validation-7053077ef7a0458083b428e84a3da590,False
action-6e58a40c9d934e04976aaf43fbb39369,416,True,23.0,23.0,,23.0,False,2013-01-01T11:45:00Z,mock_agent,validation-7053077ef7a0458083b428e84a3da590,False
