action_id,actuator_handle,application_success,applied_value,approved_value,observed_setpoint_after_application,requested_value,reset_performed,simulation_timestamp,source_type,validation_id,verified
action-b16a656fdca7419c8a06f6ddfd7a631d,416,True,22.0,22.0,22.0,22.0,False,2013-01-01T09:15:00Z,mock_agent,validation-64ff858fe4e7479aa7913d07dc66fbc5,True
action-b16a656fdca7419c8a06f6ddfd7a631d,416,True,22.0,22.0,22.0,22.0,False,2013-01-01T09:02:00Z,mock_agent,validation-64ff858fe4e7479aa7913d07dc66fbc5,True
action-b16a656fdca7419c8a06f6ddfd7a631d,416,True,22.0,22.0,22.0,22.0,False,2013-01-01T09:04:00Z,mock_agent,validation-64ff858fe4e7479aa7913d07dc66fbc5,True
action-b16a656fdca7419c8a06f6ddfd7a631d,416,True,22.0,22.0,22.0,22.0,False,2013-01-01T09:06:00Z,mock_agent,validation-64ff858fe4e7479aa7913d07dc66fbc5,True
action-b16a656fdca7419c8a06f6ddfd7a631d,416,True,22.0,22.0,22.0,22.0,False,2013-01-01T09:09:00Z,mock_agent,validation-64ff858fe4e7479aa7913d07dc66fbc5,True
action-b16a656fdca7419c8a06f6ddfd7a631d,416,True,22.0,22.0,22.0,22.0,False,2013-01-01T09:11:00Z,mock_agent,validation-64ff858fe4e7479aa7913d07dc66fbc5,True
action-b16a656fdca7419c8a06f6ddfd7a631d,416,True,22.0,22.0,22.0,22.0,False,2013-01-01T09:13:00Z,mock_agent,validation-64ff858fe4e7479aa7913d07dc66fbc5,True
action-b16a656fdca7419c8a06f6ddfd7a631d,416,True,22.0,22.0,22.0,22.0,False,2013-01-01T09:15:00Z,mock_agent,validation-64ff858fe4e7479aa7913d07dc66fbc5,True
action-b16a656fdca7419c8a06f6ddfd7a631d,416,True,22.0,22.0,22.0,22.0,False,2013-01-01T09:30:00Z,mock_agent,validation-64ff858fe4e7479aa7913d07dc66fbc5,True
action-b16a656fdca7419c8a06f6ddfd7a631d,416,True,22.0,22.0,22.0,22.0,False,2013-01-01T09:23:00Z,mock_agent,validation-64ff858fe4e7479aa7913d07dc66fbc5,True
action-b16a656fdca7419c8a06f6ddfd7a631d,416,True,22.0,22.0,22.0,22.0,False,2013-01-01T09:30:00Z,mock_agent,validation-64ff858fe4e7479aa7913d07dc66fbc5,True
action-b16a656fdca7419c8a06f6ddfd7a631d,416,True,22.0,22.0,22.0,22.0,False,2013-01-01T09:45:00Z,mock_agent,validation-64ff858fe4e7479aa7913d07dc66fbc5,True
action-89928f5bce8f4bddb24273c8ab77ef90,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T11:00:00Z,mock_agent,validation-471d4168e430420a9d122d3defb8b7af,True
action-89928f5bce8f4bddb24273c8ab77ef90,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T11:15:00Z,mock_agent,validation-471d4168e430420a9d122d3defb8b7af,True
action-89928f5bce8f4bddb24273c8ab77ef90,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T11:05:00Z,mock_agent,validation-471d4168e430420a9d122d3defb8b7af,True
action-89928f5bce8f4bddb24273c8ab77ef90,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T11:10:00Z,mock_agent,validation-471d4168e430420a9d122d3defb8b7af,True
action-89928f5bce8f4bddb24273c8ab77ef90,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T11:15:00Z,mock_agent,validation-471d4168e430420a9d122d3defb8b7af,True
action-89928f5bce8f4bddb24273c8ab77ef90,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T11:30:00Z,mock_agent,validation-471d4168e430420a9d122d3defb8b7af,True
action-89928f5bce8f4bddb24273c8ab77ef90,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T11:45:00Z,mock_agent,validation-471d4168e430420a9d122d3defb8b7af,True
