action_id,actuator_handle,application_success,applied_value,approved_value,observed_setpoint_after_application,requested_value,reset_performed,simulation_timestamp,source_type,validation_id,verified
action-4525911330c24218a2021c0382d25fc5,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:15:00Z,mock_agent,validation-a4959d5db6754906b0b794959d6a68c1,True
action-4525911330c24218a2021c0382d25fc5,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:02:00Z,mock_agent,validation-a4959d5db6754906b0b794959d6a68c1,True
action-4525911330c24218a2021c0382d25fc5,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:04:00Z,mock_agent,validation-a4959d5db6754906b0b794959d6a68c1,True
action-4525911330c24218a2021c0382d25fc5,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:06:00Z,mock_agent,validation-a4959d5db6754906b0b794959d6a68c1,True
action-4525911330c24218a2021c0382d25fc5,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:09:00Z,mock_agent,validation-a4959d5db6754906b0b794959d6a68c1,True
action-4525911330c24218a2021c0382d25fc5,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:11:00Z,mock_agent,validation-a4959d5db6754906b0b794959d6a68c1,True
action-4525911330c24218a2021c0382d25fc5,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:13:00Z,mock_agent,validation-a4959d5db6754906b0b794959d6a68c1,True
action-4525911330c24218a2021c0382d25fc5,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:15:00Z,mock_agent,validation-a4959d5db6754906b0b794959d6a68c1,True
action-4525911330c24218a2021c0382d25fc5,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:30:00Z,mock_agent,validation-a4959d5db6754906b0b794959d6a68c1,True
action-4525911330c24218a2021c0382d25fc5,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:20:00Z,mock_agent,validation-a4959d5db6754906b0b794959d6a68c1,True
action-4525911330c24218a2021c0382d25fc5,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:25:00Z,mock_agent,validation-a4959d5db6754906b0b794959d6a68c1,True
action-4525911330c24218a2021c0382d25fc5,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:30:00Z,mock_agent,validation-a4959d5db6754906b0b794959d6a68c1,True
action-4525911330c24218a2021c0382d25fc5,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:45:00Z,mock_agent,validation-a4959d5db6754906b0b794959d6a68c1,True
